offer_id,budget_tier,upgrade_tier,days_to_arrival,was_accepted,revenue_lift
38a9fc7d,budget,premium,12,0,1200
4825bd39,mid,premium,17,0,900
aff475b8,mid,premium,13,0,900
936ea899,budget,premium,19,0,1200
aeb12534,budget,premium,14,1,1200
6e11f09a,budget,premium,14,0,1200
be437346,budget,mid,8,0,720
64a14d4d,budget,mid,11,0,720
7e67e389,mid,premium,13,0,900
7b4558c7,budget,premium,19,0,1200
3e943396,budget,premium,20,0,1200
3860d361,budget,premium,10,1,1200
bd30e592,mid,premium,25,0,900
f01750ca,budget,mid,10,0,720
8002b9e9,budget,premium,17,0,1200
644edf41,budget,premium,12,0,1200
80ad2093,budget,mid,12,0,720
b2423a8c,budget,premium,20,0,1200
fa3b34fd,mid,premium,20,0,900
23f69f19,budget,premium,9,0,1200
c5956aa1,budget,premium,10,0,1200
a1f42b53,mid,premium,17,0,900
99c7aafb,budget,premium,10,1,1200
d8fff974,budget,premium,18,0,1200
0e3e796c,mid,premium,24,0,900
7490a57c,budget,premium,20,0,1200
c7b39c62,mid,premium,11,0,900
04eef108,budget,mid,5,0,720
11f3f3e9,mid,premium,11,0,900
ee84333b,budget,mid,5,0,720
c229496a,budget,premium,9,0,1200
f3139151,budget,premium,14,0,1200
efecc8d6,budget,mid,6,1,720
8d94db04,budget,premium,13,0,1200
9b26b002,budget,mid,11,0,720
2e7fcf49,mid,premium,21,1,900
c18e8f2b,budget,premium,10,0,1200
02ef30fc,budget,premium,17,0,1200
d3a477b3,mid,premium,11,0,900
8e3fbaa7,mid,premium,13,0,900
1a2bc8e4,mid,premium,11,1,900
53cb7be7,mid,premium,14,0,900
34055387,mid,premium,17,1,900
71d9e9fc,mid,premium,22,1,900
a6b5af07,budget,premium,8,0,1200
05e02357,budget,premium,16,0,1200
10da5e9d,budget,mid,10,0,720
aba3d6bb,mid,premium,17,0,900
2fba71a4,mid,premium,12,1,900
05249839,budget,mid,12,0,720
ff2ebfce,budget,mid,8,0,720
ac4c7b7a,mid,premium,20,0,900
0dbf63eb,budget,premium,11,0,1200
a3b7f3e9,budget,mid,11,0,720
e3105c43,budget,mid,4,0,720
c78ba83b,mid,premium,11,1,900
88320702,budget,mid,11,0,720
aa7fee5f,budget,mid,6,1,720
8703de9a,mid,premium,14,0,900
af283ab2,budget,mid,7,0,720
78ccc624,mid,premium,19,0,900
a0621406,budget,mid,5,0,720
281e8323,mid,premium,12,0,900
fa3901ee,budget,premium,18,0,1200
4f2a2cdf,budget,premium,14,1,1200
72426ded,budget,premium,17,0,1200
a4a52aeb,budget,premium,8,0,1200
a569a386,mid,premium,12,1,900
bfe51264,budget,mid,4,0,720
b643ad33,budget,mid,6,0,720
7efff3e4,budget,premium,10,0,1200
eb5ade02,budget,mid,6,1,720
12cf8985,budget,mid,11,0,720
cac7160f,budget,mid,10,1,720
136313f1,budget,premium,20,0,1200
f12850c4,budget,premium,9,0,1200
630fc567,budget,mid,12,0,720
7ca28609,budget,premium,14,1,1200
913538bb,budget,mid,12,0,720
c6d96298,budget,premium,13,1,1200
5dce21bc,mid,premium,18,0,900
bd21c199,budget,premium,11,0,1200
7ad05f86,budget,premium,12,0,1200
f99eaf0b,budget,premium,10,0,1200
f0cc32ce,budget,premium,13,0,1200
1bc2aaa8,budget,mid,4,0,720
5f4b5e6e,budget,premium,17,0,1200
41be0490,mid,premium,18,0,900
da3b8011,mid,premium,20,0,900
c7720492,budget,mid,7,1,720
6901e1ce,budget,mid,11,0,720
8f741ae4,budget,mid,4,0,720
9e05980a,mid,premium,22,0,900
ff5e6292,mid,premium,20,0,900
1b911c36,budget,premium,20,1,1200
18b1eaa3,budget,mid,10,0,720
18ad6bf8,budget,premium,9,0,1200
78eae7c4,budget,mid,8,1,720
963521f7,budget,mid,7,0,720
210dd0db,budget,mid,7,1,720
69574cc1,mid,premium,23,0,900
46b29511,mid,premium,19,0,900
8c6d232c,mid,premium,25,0,900
9e9db887,budget,premium,12,1,1200
654c8c7f,budget,premium,12,1,1200
091d4579,mid,premium,12,0,900
4992de27,budget,premium,11,1,1200
ac0cad01,budget,mid,10,0,720
4c6c262e,mid,premium,21,0,900
83af047e,mid,premium,15,0,900
c7836e8d,budget,mid,10,0,720
d0429a81,budget,mid,10,0,720
b605c586,budget,premium,16,1,1200
f78c60bb,mid,premium,12,0,900
07802688,budget,mid,11,1,720
75b33162,mid,premium,18,0,900
836e9d9b,mid,premium,12,1,900
4772e00e,budget,mid,10,0,720
9252ea7c,budget,mid,5,0,720
87e906b7,budget,mid,12,1,720
fe8f4a83,budget,premium,19,0,1200
8d1324e1,budget,premium,14,1,1200
01d96994,budget,premium,17,0,1200
0be80d22,budget,mid,8,0,720
4159147f,budget,mid,12,1,720
b2422ba4,budget,premium,15,0,1200
7ec59850,budget,mid,9,1,720
3368fbea,budget,premium,10,0,1200
027d4b3b,budget,premium,16,0,1200
26ad64db,budget,mid,7,0,720
5cdc36d7,mid,premium,24,0,900
9e60c6c2,budget,mid,7,1,720
01aa1606,mid,premium,17,0,900
13b7edaf,budget,mid,6,0,720
b9a30ff6,budget,mid,6,0,720
12807ef0,budget,premium,9,0,1200
eab703b0,mid,premium,15,0,900
5805b13d,budget,premium,19,0,1200
e5d80765,mid,premium,21,0,900
c77eb8ae,mid,premium,18,0,900
d7669e7f,budget,premium,8,0,1200
942d58cd,budget,premium,17,0,1200
79c220b8,budget,premium,10,0,1200
73986e30,mid,premium,17,0,900
3bbf93de,budget,premium,18,1,1200
fd88266d,budget,premium,11,0,1200
84c48f06,mid,premium,15,0,900
281a9c81,mid,premium,20,0,900
30d31d01,budget,mid,6,1,720
dae630f8,mid,premium,22,1,900
39423a37,mid,premium,17,0,900
40199e9e,mid,premium,18,1,900
8593aa55,budget,mid,4,0,720
00108315,budget,mid,11,1,720
eed02ad5,budget,mid,4,0,720
0a98ba4d,budget,premium,10,0,1200
13d27dc9,budget,premium,18,0,1200
e015ff9a,budget,mid,12,1,720
c210554e,budget,mid,7,0,720
577f86a3,mid,premium,14,0,900
a46b4732,budget,premium,19,0,1200
8de40f8e,budget,premium,8,0,1200
a3e2adcb,mid,premium,19,0,900
d23c4370,mid,premium,18,0,900
62fa6618,mid,premium,13,1,900
bb093c43,budget,premium,15,0,1200
b498a5db,budget,premium,14,1,1200
948059d1,budget,mid,6,0,720
23e65398,mid,premium,24,0,900
6e0eb05a,budget,mid,8,1,720
7851d299,budget,premium,8,0,1200
a1bc8cf7,budget,mid,5,0,720
944ea485,mid,premium,24,0,900
e9677136,budget,mid,11,0,720
415ba5b2,budget,mid,8,1,720
8fbe3f0b,mid,premium,16,1,900
749fd2ad,budget,mid,10,1,720
d7f0b179,mid,premium,11,0,900
383fc4a2,budget,premium,17,0,1200
c522ace8,budget,premium,18,0,1200
1bb9bc07,budget,mid,11,1,720
cb185ba0,budget,premium,8,0,1200
9fdfbf35,budget,premium,20,0,1200
0568ec58,mid,premium,18,0,900
e4f61976,mid,premium,24,0,900
3d563e99,budget,mid,11,0,720
cf1e34f7,mid,premium,18,0,900
1b989408,budget,mid,7,0,720
6dac7890,budget,mid,5,0,720
df08dcb0,budget,premium,20,0,1200
076069ae,budget,mid,4,0,720
9a7a8d57,budget,premium,16,0,1200
1e9de36f,budget,mid,6,0,720
c4bce62a,mid,premium,13,0,900
98fdcd20,budget,mid,4,0,720
0b241689,budget,premium,8,0,1200
8db25da1,mid,premium,10,0,900
f4a557f7,budget,premium,12,0,1200
494e64d6,budget,mid,12,1,720
5f4f0ae2,budget,premium,11,0,1200
96beb28c,mid,premium,15,0,900
98f558d7,budget,premium,12,0,1200
78ea77c3,budget,premium,15,0,1200
78ddb4de,mid,premium,11,0,900
ad914dd4,budget,mid,7,0,720
60e070a6,budget,mid,4,0,720
405c4cdc,budget,mid,8,1,720
b387cbe2,mid,premium,10,0,900
916ad389,budget,mid,9,1,720
