prop_id,tier,lead_time_days,adr
3,budget,21,161
5,budget,33,144
4,budget,35,165
2,budget,42,126
1,budget,44,122
5,budget,39,128
1,budget,33,138
3,budget,45,108
2,budget,37,105
1,budget,24,112
2,budget,4,157
3,budget,4,171
4,budget,2,139
1,budget,16,176
1,budget,23,139
5,budget,7,112
3,budget,3,175
2,budget,11,120
2,budget,45,174
4,budget,43,170
5,budget,22,162
2,budget,34,168
5,budget,17,164
5,budget,11,104
2,budget,37,106
1,budget,9,168
2,budget,34,152
4,budget,41,125
6,mid,46,368
8,mid,55,273
8,mid,49,299
8,mid,68,389
6,mid,46,312
9,mid,47,250
7,mid,68,399
9,mid,26,266
8,mid,20,333
7,mid,59,319
7,mid,37,274
10,mid,56,313
6,mid,68,391
7,mid,23,293
9,mid,47,262
7,mid,38,289
7,mid,38,280
7,mid,58,273
8,mid,23,354
9,mid,17,355
6,mid,50,285
9,mid,43,358
7,mid,58,355
7,mid,42,356
7,mid,16,396
6,mid,24,303
6,mid,40,305
10,mid,43,353
7,mid,16,345
10,mid,68,311
10,mid,70,368
10,mid,45,339
7,mid,24,301
8,mid,61,366
9,mid,38,378
8,mid,69,250
7,mid,52,372
9,mid,60,377
7,mid,37,274
8,mid,44,378
7,mid,45,292
6,mid,42,345
6,mid,53,285
7,mid,61,303
10,mid,33,400
8,mid,33,253
10,mid,20,282
8,mid,60,326
6,mid,36,350
6,mid,20,317
10,mid,70,351
8,mid,66,269
7,mid,26,330
7,mid,23,268
7,mid,48,377
7,mid,62,347
8,mid,50,345
6,mid,28,365
8,mid,25,389
8,mid,70,288
7,mid,52,359
8,mid,70,336
9,mid,62,299
6,mid,30,323
8,mid,55,323
6,mid,18,255
7,mid,43,286
7,mid,17,296
10,mid,56,270
9,mid,58,318
9,mid,52,282
6,mid,60,342
6,mid,41,326
9,mid,47,275
7,mid,31,255
7,mid,70,333
6,mid,67,285
8,mid,69,299
10,mid,55,328
7,mid,27,279
6,mid,25,362
9,mid,42,289
9,mid,64,262
8,mid,62,322
6,mid,33,378
10,mid,23,389
6,mid,24,292
9,mid,37,274
10,mid,21,350
6,mid,23,377
6,mid,62,330
6,mid,15,285
7,mid,39,254
7,mid,67,316
8,mid,45,271
9,mid,30,290
10,mid,42,275
9,mid,24,295
9,mid,46,334
9,mid,45,254
9,mid,45,257
6,mid,18,368
8,mid,34,337
6,mid,59,269
10,mid,58,389
6,mid,46,318
10,mid,57,399
10,mid,32,251
6,mid,68,362
10,mid,61,344
6,mid,53,251
6,mid,27,311
6,mid,38,345
9,mid,60,275
8,mid,43,299
7,mid,62,392
8,mid,20,284
10,mid,35,298
8,mid,31,277
10,mid,42,380
8,mid,64,297
7,mid,26,377
7,mid,69,324
10,mid,44,359
9,mid,47,397
8,mid,23,387
7,mid,59,341
8,mid,19,285
6,mid,27,373
7,mid,34,357
10,mid,54,310
6,mid,32,344
10,mid,37,371
9,mid,64,295
6,mid,55,279
7,mid,65,363
8,mid,18,310
10,mid,28,308
10,mid,64,307
10,mid,57,300
6,mid,35,390
6,mid,54,289
7,mid,70,360
7,mid,47,279
10,mid,50,378
10,mid,17,398
6,mid,17,254
6,mid,21,381
8,mid,33,339
10,mid,59,319
7,mid,56,386
8,mid,70,360
10,mid,28,371
8,mid,55,287
10,mid,63,262
9,mid,60,280
10,mid,59,369
10,mid,64,348
7,mid,57,267
10,mid,15,349
10,mid,63,365
6,mid,19,363
10,mid,26,373
6,mid,47,398
7,mid,40,399
7,mid,21,391
6,mid,16,309
10,mid,18,311
7,mid,59,394
10,mid,57,308
6,mid,39,302
8,mid,29,255
10,mid,42,346
10,mid,23,400
7,mid,48,280
7,mid,15,391
10,mid,58,257
10,mid,55,296
7,mid,42,332
10,mid,25,331
10,mid,32,260
10,mid,26,327
9,mid,69,308
7,mid,16,349
6,mid,46,398
9,mid,27,268
9,mid,65,250
10,mid,26,324
10,mid,44,329
7,mid,58,323
6,mid,23,344
6,mid,70,345
10,mid,46,343
6,mid,44,339
7,mid,61,331
10,mid,64,377
8,mid,31,305
9,mid,53,398
8,mid,44,362
9,mid,63,356
19,premium,66,703
11,premium,89,1183
12,premium,81,1100
15,premium,57,666
17,premium,60,686
16,premium,103,897
19,premium,50,664
12,premium,55,1183
16,premium,92,1056
14,premium,97,1147
13,premium,72,1153
17,premium,99,629
18,premium,79,936
16,premium,85,1095
16,premium,104,1089
15,premium,117,1111
16,premium,87,893
15,premium,88,952
15,premium,74,566
16,premium,89,720
13,premium,56,1104
17,premium,103,762
11,premium,96,1083
11,premium,42,803
11,premium,67,1154
14,premium,44,670
14,premium,120,803
13,premium,91,1003
14,premium,89,674
13,premium,91,557
15,premium,116,927
13,premium,105,720
13,premium,73,1045
18,premium,42,501
16,premium,72,968
19,premium,65,990
18,premium,73,1113
13,premium,72,657
15,premium,51,657
17,premium,51,1143
12,premium,107,909
19,premium,71,744
13,premium,106,571
14,premium,90,1032
15,premium,51,899
12,premium,83,709
13,premium,103,873
17,premium,69,945
18,premium,108,1118
13,premium,106,1016
20,premium,106,1096
18,premium,69,715
17,premium,91,910
14,premium,86,904
13,premium,78,883
12,premium,99,916
19,premium,109,634
18,premium,56,937
15,premium,99,755
13,premium,90,1088
20,premium,42,870
19,premium,115,575
15,premium,103,899
14,premium,57,731
12,premium,75,916
14,premium,105,1138
18,premium,68,769
13,premium,106,509
19,premium,80,538
18,premium,68,1070
17,premium,89,931
18,premium,83,806
15,premium,96,1129
14,premium,101,1068
14,premium,84,1072
12,premium,86,569
20,premium,79,1195
13,premium,65,985
14,premium,56,1187
20,premium,49,597
14,premium,99,1089
17,premium,41,1172
20,premium,68,901
11,premium,54,782
11,premium,67,1052
16,premium,44,1096
18,premium,89,875
11,premium,86,803
17,premium,94,675
15,premium,97,709
16,premium,103,780
18,premium,53,807
15,premium,111,770
14,premium,46,931
18,premium,88,1104
19,premium,84,921
16,premium,116,894
18,premium,119,900
13,premium,96,1147
18,premium,106,945
16,premium,83,946
14,premium,88,913
13,premium,53,935
11,premium,90,593
16,premium,85,1027
17,premium,53,697
17,premium,70,987
14,premium,93,1041
13,premium,53,863
17,premium,78,567
19,premium,47,503
16,premium,46,597
11,premium,48,1113
16,premium,111,526
17,premium,56,876
12,premium,89,1173
15,premium,99,768
16,premium,95,565
14,premium,102,740
20,premium,42,644
17,premium,108,966
17,premium,85,852
14,premium,84,1117
16,premium,98,1134
15,premium,92,991
16,premium,105,527
16,premium,49,1019
16,premium,117,788
14,premium,85,506
15,premium,90,633
12,premium,89,1033
14,premium,51,1009
12,premium,95,875
12,premium,89,975
16,premium,69,644
19,premium,48,609
19,premium,59,781
18,premium,82,819
18,premium,102,669
14,premium,93,1160
19,premium,79,1127
12,premium,44,543
19,premium,66,974
16,premium,52,526
15,premium,49,1181
20,premium,90,698
13,premium,88,1141
13,premium,116,968
17,premium,45,970
13,premium,75,865
19,premium,63,669
14,premium,112,593
20,premium,117,1120
12,premium,90,784
17,premium,87,1173
19,premium,73,1037
18,premium,71,532
20,premium,41,681
13,premium,68,796
13,premium,86,855
19,premium,72,909
17,premium,97,862
17,premium,53,761
11,premium,44,1164
19,premium,108,614
11,premium,40,788
19,premium,100,879
15,premium,69,726
17,premium,78,585
20,premium,70,561
17,premium,109,942
19,premium,66,676
17,premium,108,581
19,premium,48,514
11,premium,103,506
20,premium,48,556
19,premium,51,556
13,premium,57,958
20,premium,94,999
11,premium,101,539
17,premium,112,597
12,premium,100,837
19,premium,42,1014
12,premium,84,527
16,premium,47,729
14,premium,111,969
20,premium,46,804
11,premium,51,544
16,premium,117,790
20,premium,79,685
18,premium,60,1045
13,premium,84,578
18,premium,50,1029
17,premium,75,550
14,premium,105,698
11,premium,58,949
20,premium,107,536
11,premium,115,691
14,premium,110,554
17,premium,95,588
